recipient,latitude,longitude
Vanuatu,-16.22640908843429,167.68644635705095
Marshall Islands,7.003763583152819,170.3397612235855
Tonga,-20.428431742537843,-174.8098734097861
Solomon Islands,-8.92178021692277,159.63287667836963
Samoa,-13.753243463807355,-172.16485064026728
Papua New Guinea,-6.464166460829707,145.20744752355068
Palau,7.2874278360271045,134.40807965523004
Nauru,-0.5191263895222604,166.93256823412688
Kiribati,0.8600150317106607,-45.61110513295799
Fiji,-17.428580317451242,165.45195431771333
Tuvalu,-8.503451262976416,179.20556525266937
